"Step","Freeway-v4__state_of_art_intrinsic__1__1666557898 - charts/mean_episodic_return","Freeway-v4__state_of_art_intrinsic__1__1666557898 - charts/mean_episodic_return__MIN","Freeway-v4__state_of_art_intrinsic__1__1666557898 - charts/mean_episodic_return__MAX"
"8528384","1","1","1"
"8528768","1","1","1"
"8605824","0","0","0"
"8606592","1","1","1"
"8608512","0","0","0"
"8608768","0","0","0"
"8609024","0","0","0"
"8611712","0","0","0"
"8615168","1","1","1"
"8696576","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"8696704","0.5","0.5","0.5"
"8697216","0","0","0"
"8699136","0","0","0"
"8704256","0","0","0"
"8777472","0","0","0"
"8779008","0","0","0"
"8782592","0","0","0"
"8783104","0.5","0.5","0.5"
"8786944","0","0","0"
"8863488","0","0","0"
"8864896","0.5","0.5","0.5"
"8871424","0","0","0"
"8875136","1","1","1"
"8877440","0","0","0"
"8951808","0","0","0"
"8955520","1.5","1.5","1.5"
"8957056","0","0","0"
"8957568","0","0","0"
"8961280","0","0","0"
"8963328","0","0","0"
"9035392","0","0","0"
"9038720","0.6666666865348816","0.6666666865348816","0.6666666865348816"
"9112704","0","0","0"
"9115904","0","0","0"
"9117824","0","0","0"
"9120000","0","0","0"
"9124096","0","0","0"
"9124736","0","0","0"
"9127424","0","0","0"
"9129216","0","0","0"
"9130368","0","0","0"
"9131392","0","0","0"
"9131648","0","0","0"
"9133184","0","0","0"
"9137792","1","1","1"
"9205760","1","1","1"
"9210880","0","0","0"
"9211264","0","0","0"
"9216896","0","0","0"
"9292288","1","1","1"
"9299584","1","1","1"
"9299968","0","0","0"
"9302272","0","0","0"
"9303040","0","0","0"
"9308288","0","0","0"
"9374464","0","0","0"
"9382016","0","0","0"
"9383936","0","0","0"
"9384576","0","0","0"
"9387136","0","0","0"
"9393920","0","0","0"
"9394944","0","0","0"
"9395456","0","0","0"
"9465344","1","1","1"
"9469568","0","0","0"
"9473792","0","0","0"
"9477504","0","0","0"
"9478784","1","1","1"
"9478912","0","0","0"
"9480448","0","0","0"
"9482368","0","0","0"
"9548160","0","0","0"
"9567232","0","0","0"
"9643392","0","0","0"
"9650048","0.5","0.5","0.5"
"9651200","1","1","1"
"9651968","0","0","0"
"9653888","0","0","0"
"9657600","0","0","0"
"9662592","1","1","1"
"9724544","0","0","0"
"9735808","0","0","0"
"9737344","0","0","0"
"9738112","0","0","0"
"9740672","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"9808768","0","0","0"
"9813504","0","0","0"
"9815040","0","0","0"
"9820672","1","1","1"
"9827840","0","0","0"
"9829248","2","2","2"
"9835392","0","0","0"
"9899264","1","1","1"
"9908224","0","0","0"
"9908352","0","0","0"
"9913088","0","0","0"
"9914624","0.5","0.5","0.5"
"9915520","0","0","0"
"9915648","0","0","0"
"9990528","0","0","0"
"9995520","0","0","0"
"9996288","0","0","0"
"9998592","0","0","0"
"10000768","0","0","0"
"10001024","0","0","0"
"10001152","0","0","0"
"10004096","0","0","0"
"10009344","0","0","0"
"10071552","0","0","0"
"10075520","0","0","0"
"10086912","1","1","1"
"10159104","0","0","0"
"10160896","0","0","0"
"10168064","1","1","1"
"10169088","1","1","1"
"10172416","0","0","0"
"10174848","0.6666666865348816","0.6666666865348816","0.6666666865348816"
"10247552","0","0","0"
"10262272","0","0","0"
"10342400","0","0","0"
"10346368","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"10354048","0","0","0"
"10434432","0","0","0"
"10435072","0.5","0.5","0.5"
"10437248","0","0","0"
"10437376","0","0","0"
"10439552","1","1","1"
"10443520","2","2","2"
