"Step","Freeway-v4__my_baseline_intrinsic__1__1664396756 - charts/mean_episodic_return","Freeway-v4__my_baseline_intrinsic__1__1664396756 - charts/mean_episodic_return__MIN","Freeway-v4__my_baseline_intrinsic__1__1664396756 - charts/mean_episodic_return__MAX"
"13383808","0","0","0"
"13388544","0","0","0"
"13389440","1","1","1"
"13393792","0","0","0"
"13395072","0","0","0"
"13470464","0.5","0.5","0.5"
"13472384","1","1","1"
"13472768","0","0","0"
"13561472","2","2","2"
"13568640","0","0","0"
"13633024","1","1","1"
"13648768","0","0","0"
"13653888","0","0","0"
"13655168","0.5","0.5","0.5"
"13656064","1","1","1"
"13656448","2","2","2"
"13730944","1.6666666269302368","1.6666666269302368","1.6666666269302368"
"13740416","1","1","1"
"13744896","1","1","1"
"13748096","0","0","0"
"13819008","0","0","0"
"13822208","1","1","1"
"13824256","1","1","1"
"13825024","0","0","0"
"13825792","0","0","0"
"13826560","1","1","1"
"13911808","0","0","0"
"13914240","0","0","0"
"13919872","0","0","0"
"14001280","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"14011136","1","1","1"
"14076928","0","0","0"
"14081024","0","0","0"
"14088192","0","0","0"
"14093568","0","0","0"
"14171520","0.25","0.25","0.25"
"14173824","0","0","0"
"14176256","0","0","0"
"14190336","0","0","0"
"14257536","0","0","0"
"14261248","0","0","0"
"14262656","0","0","0"
"14264704","0","0","0"
"14266240","0","0","0"
"14271488","0","0","0"
"14336768","0","0","0"
"14345216","0","0","0"
"14346880","0","0","0"
"14426752","0","0","0"
"14429568","0","0","0"
"14436352","0.5","0.5","0.5"
"14439680","0","0","0"
"14444544","0","0","0"
"14515456","0","0","0"
"14523136","0","0","0"
"14523648","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"14531968","0","0","0"
"14597248","0","0","0"
"14607232","0","0","0"
"14608384","0","0","0"
"14613888","0","0","0"
"14617088","0","0","0"
"14618496","0","0","0"
"14688640","0","0","0"
"14694272","0","0","0"
"14697216","0","0","0"
"14698496","0","0","0"
"14712192","0","0","0"
"14768896","0","0","0"
"14772864","0","0","0"
"14774144","0","0","0"
"14774912","0","0","0"
"14776576","0","0","0"
"14780160","0.25","0.25","0.25"
"14782848","1","1","1"
"14785152","0","0","0"
"14788224","0","0","0"
"14849920","0","0","0"
"14860160","0","0","0"
"14862976","0","0","0"
"14872064","1","1","1"
"14872960","0","0","0"
"14878720","0","0","0"
"14940800","0","0","0"
"14954240","0","0","0"
"14955392","2","2","2"
"14962688","0","0","0"
"15026432","0","0","0"
"15032448","0","0","0"
"15039616","0","0","0"
"15041152","0","0","0"
"15053056","0","0","0"
"15134080","0","0","0"
"15142016","0","0","0"
"15207424","0","0","0"
"15209216","0","0","0"
"15210112","0","0","0"
"15295744","0","0","0"
"15298688","0","0","0"
"15304064","0","0","0"
"15312640","0","0","0"
"15313664","0","0","0"
"15314304","0","0","0"
"15380992","0","0","0"
"15381888","0","0","0"
"15385344","0","0","0"
"15390464","0","0","0"
"15409664","0","0","0"
"15460224","0","0","0"
"15473024","0","0","0"
"15557760","0","0","0"
"15558784","0","0","0"
"15564032","0","0","0"
"15565312","0","0","0"
"15567360","0","0","0"
"15573248","0","0","0"
"15646080","0","0","0"
"15646720","0","0","0"
"15656064","0","0","0"
"15726464","0","0","0"
"15734656","0","0","0"
"15735168","0","0","0"
"15820672","0","0","0"
"15832320","0","0","0"
"15836928","0","0","0"
"15839232","0","0","0"
"15839616","0","0","0"
"15900800","0","0","0"
"15903360","0","0","0"
"15904256","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"15905408","0","0","0"
"15909504","0","0","0"
"15987072","0","0","0"
"15994752","0","0","0"
"15996160","0","0","0"
"15998464","0","0","0"
"16001920","0","0","0"
"16006144","0","0","0"
"16085376","0","0","0"
"16170368","0","0","0"
"16172544","0","0","0"
"16173952","0","0","0"
"16174592","0","0","0"
"16236928","0","0","0"
"16248064","0","0","0"
"16257664","0","0","0"
"16257792","0","0","0"
