"Step","MsPacman-v4__state_of_art_intrinsic__1__1666220828 - charts/mean_episodic_return","MsPacman-v4__state_of_art_intrinsic__1__1666220828 - charts/mean_episodic_return__MIN","MsPacman-v4__state_of_art_intrinsic__1__1666220828 - charts/mean_episodic_return__MAX"
"8643200","290","290","290"
"8663552","950","950","950"
"8668800","410","410","410"
"8706432","260","260","260"
"8711296","440","440","440"
"8766848","240","240","240"
"8781824","350","350","350"
"8795136","430","430","430"
"8802560","330","330","330"
"8862336","305","305","305"
"8869248","400","400","400"
"8872832","330","330","330"
"8905088","780","780","780"
"8930944","335","335","335"
"8943104","470","470","470"
"8953216","275","275","275"
"8987776","680","680","680"
"8988672","330","330","330"
"9018752","370","370","370"
"9025408","290","290","290"
"9048064","1140","1140","1140"
"9052160","270","270","270"
"9070336","400","400","400"
"9070592","276.6666564941406","276.6666564941406","276.6666564941406"
"9120384","630","630","630"
"9121536","380","380","380"
"9124480","190","190","190"
"9140736","560","560","560"
"9157504","650","650","650"
"9183104","210","210","210"
"9216640","373.3333435058594","373.3333435058594","373.3333435058594"
"9225216","390","390","390"
"9233152","430","430","430"
"9235200","550","550","550"
"9250432","410","410","410"
"9260032","330","330","330"
"9265792","550","550","550"
"9280640","290","290","290"
"9292672","450","450","450"
"9305728","430","430","430"
"9306496","350","350","350"
"9313024","130","130","130"
"9314944","720","720","720"
"9376512","540","540","540"
"9389696","710","710","710"
"9430656","270","270","270"
"9434752","190","190","190"
"9457024","460","460","460"
"9464320","310","310","310"
"9476864","270","270","270"
"9484544","300","300","300"
"9573888","380","380","380"
"9577856","410","410","410"
"9579648","330","330","330"
"9596288","280","280","280"
"9622400","240","240","240"
"9689856","470","470","470"
"9695360","420","420","420"
"9726208","260","260","260"
"9755264","140","140","140"
"9762176","330","330","330"
"9765504","555","555","555"
"9790080","450","450","450"
"9808512","370","370","370"
"9838848","370","370","370"
"9841280","270","270","270"
"9881856","704","704","704"
"9913088","875","875","875"
"9925888","790","790","790"
"9928448","300","300","300"
"9958272","310","310","310"
"9981312","250","250","250"
"9986688","200","200","200"
"9990144","320","320","320"
"9997440","353.3333435058594","353.3333435058594","353.3333435058594"
"10083328","210","210","210"
"10129280","560","560","560"
"10133888","330","330","330"
"10178560","690","690","690"
"10179200","500","500","500"
"10182272","280","280","280"
"10199680","480","480","480"
"10237952","350","350","350"
"10262400","420","420","420"
"10289408","290","290","290"
"10330496","350","350","350"
"10340608","1010","1010","1010"
"10351616","335","335","335"
"10420352","360","360","360"
"10444288","560","560","560"
"10465536","390","390","390"
"10502784","675","675","675"
"10512896","250","250","250"
"10573696","150","150","150"
"10602496","1240","1240","1240"
"10620672","410","410","410"
"10630144","440","440","440"
"10641536","240","240","240"
"10663040","355","355","355"
"10677504","390","390","390"
"10717568","1790","1790","1790"
"10726784","352.5","352.5","352.5"
"10740736","150","150","150"
"10745472","415","415","415"
"10789376","330","330","330"
"10796544","560","560","560"
"10829056","350","350","350"
"10836736","260","260","260"
"10855936","290","290","290"
"10864128","530","530","530"
"10876672","280","280","280"
"10879104","355","355","355"
"10899200","300","300","300"
"10908160","280","280","280"
"10910208","1445","1445","1445"
"10920704","315","315","315"
"10925312","640","640","640"
"10935040","360","360","360"
"10954112","380","380","380"
"10993024","370","370","370"
"10996608","190","190","190"
"11008512","420","420","420"
"11021952","230","230","230"
"11036800","300","300","300"
"11036928","313.3333435058594","313.3333435058594","313.3333435058594"
"11053312","350","350","350"
"11063936","330","330","330"
"11080448","320","320","320"
"11130240","1480","1480","1480"
"11138816","430","430","430"
"11145472","370","370","370"
"11150336","290","290","290"
"11153024","280","280","280"
