"Step","Riverraid-v4__my_baseline_intrinsic__1__1664407002 - charts/mean_episodic_return","Riverraid-v4__my_baseline_intrinsic__1__1664407002 - charts/mean_episodic_return__MIN","Riverraid-v4__my_baseline_intrinsic__1__1664407002 - charts/mean_episodic_return__MAX"
"2830848","2610","2610","2610"
"2835584","1330","1330","1330"
"2845568","1120","1120","1120"
"2850304","1510","1510","1510"
"2855168","1270","1270","1270"
"2873088","1850","1850","1850"
"2887040","1580","1580","1580"
"2897152","810","810","810"
"2911232","1910","1910","1910"
"2932736","1030","1030","1030"
"2962048","1160","1160","1160"
"2963840","2150","2150","2150"
"2976000","1560","1560","1560"
"2995456","1360","1360","1360"
"3002240","1460","1460","1460"
"3036800","1080","1080","1080"
"3048448","1860","1860","1860"
"3069312","1860","1860","1860"
"3088128","1400","1400","1400"
"3116288","790","790","790"
"3122816","640","640","640"
"3123456","850","850","850"
"3148544","1755","1755","1755"
"3169920","1030","1030","1030"
"3171456","1520","1520","1520"
"3181952","1420","1420","1420"
"3189120","1830","1830","1830"
"3216128","2150","2150","2150"
"3227648","1010","1010","1010"
"3234432","2090","2090","2090"
"3242368","1240","1240","1240"
"3253888","1286.6666259765625","1286.6666259765625","1286.6666259765625"
"3256448","1117.5","1117.5","1117.5"
"3265792","1710","1710","1710"
"3282176","1240","1240","1240"
"3283072","1490","1490","1490"
"3289600","2860","2860","2860"
"3297152","1310","1310","1310"
"3303808","1060","1060","1060"
"3321600","1570","1570","1570"
"3322112","1420","1420","1420"
"3343616","730","730","730"
"3354240","1200","1200","1200"
"3400832","990","990","990"
"3407872","1710","1710","1710"
"3412224","1400","1400","1400"
"3427200","2580","2580","2580"
"3475328","1310","1310","1310"
"3513728","1000","1000","1000"
"3523200","1565","1565","1565"
"3523968","1740","1740","1740"
"3525888","2010","2010","2010"
"3528448","1455","1455","1455"
"3534464","1750","1750","1750"
"3554048","780","780","780"
"3565696","1510","1510","1510"
"3566720","1660","1660","1660"
"3604736","1510","1510","1510"
"3605760","1860","1860","1860"
"3612416","1310","1310","1310"
"3637120","1760","1760","1760"
"3643648","1450","1450","1450"
"3644928","1780","1780","1780"
"3651968","1350","1350","1350"
"3663232","2210","2210","2210"
"3666304","1590","1590","1590"
"3694848","1700","1700","1700"
"3700096","2050","2050","2050"
"3713664","2320","2320","2320"
"3718784","1910","1910","1910"
"3725312","1585","1585","1585"
"3728384","1790","1790","1790"
"3732736","1910","1910","1910"
"3744256","1660","1660","1660"
"3762304","1210","1210","1210"
"3775744","1830","1830","1830"
"3789952","1740","1740","1740"
"3790720","2120","2120","2120"
"3800704","1555","1555","1555"
"3805696","1880","1880","1880"
"3807360","1950","1950","1950"
"3815424","1390","1390","1390"
"3822208","1450","1450","1450"
"3824384","1550","1550","1550"
"3863424","1830","1830","1830"
"3891328","1460","1460","1460"
"3904256","2250","2250","2250"
"3926272","1880","1880","1880"
"3946368","1860","1860","1860"
"3947136","2030","2030","2030"
"3968256","890","890","890"
"3977600","1370","1370","1370"
"3998336","2050","2050","2050"
"3999744","1160","1160","1160"
"4010624","1400","1400","1400"
"4016384","760","760","760"
"4017792","2230","2230","2230"
"4029952","1130","1130","1130"
"4038784","1290","1290","1290"
"4073344","1450","1450","1450"
"4108544","2300","2300","2300"
"4136704","1320","1320","1320"
"4141184","1990","1990","1990"
"4152832","1140","1140","1140"
"4167296","1420","1420","1420"
"4171776","1300","1300","1300"
"4174720","1720","1720","1720"
"4182912","1850","1850","1850"
"4205824","1050","1050","1050"
"4216064","1420","1420","1420"
"4236160","1230","1230","1230"
"4245376","900","900","900"
"4289024","1493.3333740234375","1493.3333740234375","1493.3333740234375"
"4306304","2260","2260","2260"
"4350592","1610","1610","1610"
"4369664","1440","1440","1440"
"4403840","2200","2200","2200"
"4460416","1170","1170","1170"
"4463360","1780","1780","1780"
"4478720","1755","1755","1755"
"4493312","1400","1400","1400"
"4505728","1240","1240","1240"
"4505856","980","980","980"
"4507904","1080","1080","1080"
"4542848","1060","1060","1060"
"4543616","1340","1340","1340"
"4555648","1780","1780","1780"
"4559616","1830","1830","1830"
"4585344","2110","2110","2110"
"4609920","1330","1330","1330"
"4636928","1690","1690","1690"
"4657408","1700","1700","1700"
"4658816","1850","1850","1850"
"4672128","2010","2010","2010"
"4694016","1290","1290","1290"
"4721664","1980","1980","1980"
"4749952","1840","1840","1840"
"4760192","1590","1590","1590"
"4762880","1140","1140","1140"
"4767104","1980","1980","1980"
"4777344","2340","2340","2340"
"4800640","1680","1680","1680"
"4808960","1880","1880","1880"
"4812416","1810","1810","1810"
"4832128","1950","1950","1950"
"4849280","1280","1280","1280"
"4861056","1780","1780","1780"
"4874752","1000","1000","1000"
"4887552","2060","2060","2060"
"4898304","1900","1900","1900"
"4935552","1800","1800","1800"
"4951040","1020","1020","1020"
"5033216","1810","1810","1810"
"5048960","1000","1000","1000"
"5082240","1610","1610","1610"
"5085056","2050","2050","2050"
"5092352","1220","1220","1220"
"5097344","2090","2090","2090"
"5124480","1340","1340","1340"
"5135360","2170","2170","2170"
"5136896","1160","1160","1160"
"5190912","1840","1840","1840"
"5191168","1950","1950","1950"
"5191552","1850","1850","1850"
"5247360","2130","2130","2130"
"5261824","1650","1650","1650"
"5267840","2000","2000","2000"
"5280640","1880","1880","1880"
"5291392","2120","2120","2120"
"5344128","1685","1685","1685"
"5349376","2070","2070","2070"
"5356928","2090","2090","2090"
"5358208","1850","1850","1850"
"5368320","1760","1760","1760"
"5422336","2050","2050","2050"
"5422976","1530","1530","1530"
"5425280","1390","1390","1390"
"5432960","1830","1830","1830"
"5488768","2060","2060","2060"
"5519360","1710","1710","1710"
"5521152","1030","1030","1030"
"5521792","1600","1600","1600"
"5536768","1760","1760","1760"
"5539200","1510","1510","1510"
"5577728","1660","1660","1660"
"5603072","2010","2010","2010"
"5619328","1730","1730","1730"
"5663104","2035","2035","2035"
"5674112","2160","2160","2160"
"5677184","1840","1840","1840"
"5687424","1575","1575","1575"
"5690112","1180","1180","1180"
"5732608","1830","1830","1830"
"5734272","1510","1510","1510"
"5752192","1530","1530","1530"
"5763072","1880","1880","1880"
"5773440","1730","1730","1730"
"5777792","2120","2120","2120"
"5812992","2080","2080","2080"
"5833472","1880","1880","1880"
"5844992","1760","1760","1760"
"5846272","1920","1920","1920"
"5848704","1340","1340","1340"
"5874432","1220","1220","1220"
"5884672","2160","2160","2160"
"5885568","1620","1620","1620"
"5900672","1850","1850","1850"
"5950208","1520","1520","1520"
"5960192","1910","1910","1910"
"5961856","1610","1610","1610"
"5965184","2070","2070","2070"
"5980544","2000","2000","2000"
"5999872","1740","1740","1740"
"6014208","1770","1770","1770"
"6038528","1720","1720","1720"
"6053504","1780","1780","1780"
"6057984","1840","1840","1840"
"6061312","1730","1730","1730"
"6064384","1990","1990","1990"
"6064896","1890","1890","1890"
"6079232","1910","1910","1910"
"6115200","1680","1680","1680"
"6124032","1830","1830","1830"
"6162304","1900","1900","1900"
"6168832","1820","1820","1820"
"6176128","2175","2175","2175"
"6214784","2090","2090","2090"
"6224640","1110","1110","1110"
"6226560","1910","1910","1910"
"6228480","1750","1750","1750"
"6240768","2140","2140","2140"
"6249472","1550","1550","1550"
"6279680","1740","1740","1740"
"6290048","2000","2000","2000"
"6302592","1060","1060","1060"
"6317312","2010","2010","2010"
"6359040","1740","1740","1740"
"6387328","1820","1820","1820"
"6397184","1120","1120","1120"
"6423680","2170","2170","2170"
"6429184","2010","2010","2010"
"6429952","1480","1480","1480"
"6432256","1980","1980","1980"
