"Step","Atlantis-v4__state_of_art_intrinsic__1__1667413438 - charts/mean_episodic_return","Atlantis-v4__state_of_art_intrinsic__1__1667413438 - charts/mean_episodic_return__MIN","Atlantis-v4__state_of_art_intrinsic__1__1667413438 - charts/mean_episodic_return__MAX","Atlantis-v4__state_of_art_intrinsic__1__1666563163 - charts/mean_episodic_return","Atlantis-v4__state_of_art_intrinsic__1__1666563163 - charts/mean_episodic_return__MIN","Atlantis-v4__state_of_art_intrinsic__1__1666563163 - charts/mean_episodic_return__MAX","Atlantis-v4__my_baseline_intrinsic__1__1665746971 - charts/mean_episodic_return","Atlantis-v4__my_baseline_intrinsic__1__1665746971 - charts/mean_episodic_return__MIN","Atlantis-v4__my_baseline_intrinsic__1__1665746971 - charts/mean_episodic_return__MAX"
"157920","11900","11900","11900","","","","","",""
"158928","7900","7900","7900","","","","","",""
"159360","","","","12100","12100","12100","","",""
"159648","12600","12600","12600","","","","","",""
"159872","","","","6100","6100","6100","","",""
"160512","","","","3800","3800","3800","","",""
"160576","17300","17300","17300","","","","","",""
"161280","","","","11600","11600","11600","","",""
"162032","10900","10900","10900","","","","","",""
"162096","10500","10500","10500","","","","","",""
"162240","7100","7100","7100","","","","","",""
"162432","","","","12500","12500","12500","","",""
"163200","6800","6800","6800","","","","","",""
"163328","","","","5000","5000","5000","","",""
"163584","6800","6800","6800","","","","","",""
"164224","","","","7700","7700","7700","","",""
"164512","5700","5700","5700","","","","","",""
"164736","","","","12800","12800","12800","","",""
"165104","14000","14000","14000","","","","","",""
"165504","","","","18800","18800","18800","","",""
"166000","9100","9100","9100","","","","","",""
"166272","","","","5200","5200","5200","","",""
"166400","","","","7700","7700","7700","","",""
"166656","","","","8000","8000","8000","","",""
"167072","4900","4900","4900","","","","","",""
"167936","","","","9400","9400","9400","","",""
"168192","","","","10700","10700","10700","","",""
"168320","","","","3300","3300","3300","","",""
"169216","","","","9700","9700","9700","","",""
"169392","8600","8600","8600","","","","","",""
"169600","","","","7500","7500","7500","","",""
"169984","9800","9800","9800","","","","12400","12400","12400"
"170304","16200","16200","16200","","","","","",""
"172160","6800","6800","6800","","","","","",""
"173184","","","","5400","5400","5400","","",""
"174800","7700","7700","7700","","","","","",""
"175024","5100","5100","5100","","","","","",""
"175488","","","","","","","11550","11550","11550"
"176640","","","","9500","9500","9500","","",""
"176896","","","","7600","7600","7600","","",""
"177136","8400","8400","8400","","","","","",""
"177664","","","","8200","8200","8200","","",""
"177840","6100","6100","6100","","","","","",""
"178304","6950","6950","6950","","","","","",""
"178432","","","","","","","12900","12900","12900"
"179040","4900","4900","4900","","","","","",""
"179840","","","","9200","9200","9200","","",""
"180256","10350","10350","10350","","","","","",""
"180592","6100","6100","6100","","","","","",""
"180608","","","","6300","6300","6300","","",""
"182224","4900","4900","4900","","","","","",""
"182272","","","","7700","7700","7700","","",""
"182400","","","","6600","6600","6600","","",""
"184192","","","","7200","7200","7200","","",""
"184704","","","","16500","16500","16500","","",""
"185088","","","","6100","6100","6100","","",""
"185680","6900","6900","6900","","","","","",""
"186240","","","","10200","10200","10200","","",""
"187232","17200","17200","17200","","","","","",""
"187552","9000","9000","9000","","","","","",""
"188336","5900","5900","5900","","","","","",""
"189312","","","","7300","7300","7300","","",""
"189648","11800","11800","11800","","","","","",""
"190976","","","","6000","6000","6000","","",""
"191104","","","","8900","8900","8900","","",""
"191360","","","","14100","14100","14100","","",""
"192384","","","","19800","19800","19800","","",""
"193280","","","","11850","11850","11850","","",""
"194304","","","","10500","10500","10500","","",""
"194432","8600","8600","8600","","","","","",""
"194720","8700","8700","8700","","","","","",""
"194816","","","","10300","10300","10300","","",""
"195168","19300","19300","19300","","","","","",""
"195392","8600","8600","8600","","","","","",""
"195808","14400","14400","14400","","","","","",""
"197296","7900","7900","7900","","","","","",""
"197632","","","","2800","2800","2800","","",""
"198016","14200","14200","14200","","","","","",""
"198560","11200","11200","11200","","","","","",""
"200656","11700","11700","11700","","","","","",""
"200704","","","","14600","14600","14600","","",""
"201024","5500","5500","5500","","","","","",""
"201600","","","","8700","8700","8700","","",""
"201840","18200","18200","18200","","","","","",""
"201904","17700","17700","17700","","","","","",""
"202112","","","","","","","8300","8300","8300"
"202736","8550","8550","8550","","","","","",""
"202816","4500","4500","4500","","","","","",""
"203328","15100","15100","15100","","","","","",""
"203520","","","","16400","16400","16400","","",""
"203904","","","","13500","13500","13500","","",""
"204288","","","","10500","10500","10500","","",""
"204672","","","","7200","7200","7200","","",""
"204928","","","","7600","7600","7600","","",""
"205920","5100","5100","5100","","","","","",""
"206976","","","","10700","10700","10700","","",""
"207472","9400","9400","9400","","","","","",""
"207744","","","","9100","9100","9100","","",""
"207776","9900","9900","9900","","","","","",""
"208000","","","","7500","7500","7500","","",""
"208352","6300","6300","6300","","","","","",""
"208640","","","","","","","6650","6650","6650"
"209040","8300","8300","8300","","","","","",""
"209280","","","","11100","11100","11100","","",""
"210304","6300","6300","6300","","","","","",""
"211360","8100","8100","8100","","","","","",""
"211456","","","","","","","7750","7750","7750"
"211840","13200","13200","13200","","","","","",""
"211984","17300","17300","17300","","","","","",""
"212096","","","","7000","7000","7000","","",""
"212464","11000","11000","11000","","","","","",""
"212864","","","","10800","10800","10800","","",""
"213248","","","","8800","8800","8800","","",""
"213936","9200","9200","9200","","","","","",""
"215024","4300","4300","4300","","","","","",""
"215040","","","","12600","12600","12600","","",""
"215424","","","","3300","3300","3300","","",""
"215456","9800","9800","9800","","","","","",""
"215632","17000","17000","17000","","","","","",""
"216192","","","","6800","6800","6800","","",""
"216224","9500","9500","9500","","","","","",""
"217984","","","","12000","12000","12000","","",""
"218208","8700","8700","8700","","","","","",""
"218752","","","","9800","9800","9800","","",""
"218880","","","","15800","15800","15800","","",""
"219520","","","","11600","11600","11600","","",""
"220416","","","","8700","8700","8700","","",""
"220672","","","","14400","14400","14400","","",""
"222272","15600","15600","15600","","","","","",""
"222464","","","","7700","7700","7700","","",""
"223008","16400","16400","16400","","","","","",""
"223472","7700","7700","7700","","","","","",""
"224000","","","","7200","7200","7200","","",""
"224768","","","","","","","5900","5900","5900"
"225664","","","","3300","3300","3300","","",""
"225952","7000","7000","7000","","","","","",""
"226304","","","","7300","7300","7300","","",""
"226944","","","","8500","8500","8500","","",""
"227072","7800","7800","7800","","","","","",""
"227568","16900","16900","16900","","","","","",""
"227968","","","","","","","6900","6900","6900"
"228560","9400","9400","9400","","","","","",""
"228608","","","","10800","10800","10800","","",""
"228992","","","","12800","12800","12800","","",""
"229376","","","","6500","6500","6500","","",""
"230656","","","","5600","5600","5600","","",""
"230784","","","","7600","7600","7600","","",""
"231040","9600","9600","9600","16100","16100","16100","","",""
"231168","","","","10100","10100","10100","","",""
"231552","","","","10100","10100","10100","","",""
"231904","9600","9600","9600","","","","","",""
"232048","6200","6200","6200","","","","","",""
"232192","","","","12000","12000","12000","","",""
"232448","","","","8900","8900","8900","","",""
"233904","11300","11300","11300","","","","","",""
"234080","5900","5900","5900","","","","","",""
"234448","12900","12900","12900","","","","","",""
"234624","","","","7500","7500","7500","","",""
"234880","","","","6000","6000","6000","","",""
"235792","10900","10900","10900","","","","","",""
"236160","6700","6700","6700","9600","9600","9600","","",""
"236672","","","","4100","4100","4100","","",""
"236800","","","","","","","11700","11700","11700"
"237312","","","","15100","15100","15100","","",""
"238848","","","","3100","3100","3100","","",""
"239360","","","","5500","5500","5500","","",""
"239600","7300","7300","7300","","","","","",""
"239872","","","","9200","9200","9200","","",""
"241696","9800","9800","9800","","","","","",""
"241792","","","","6900","6900","6900","","",""
"242432","","","","9200","9200","9200","","",""
"242688","","","","7700","7700","7700","","",""
